Div. No.,Division Name,School No.,School Name,Low Grade,High Grade,Grade PK,Grade JK,Grade KG,Grade T1,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Grade PG,Total Full-Time,Part-time Students,Total
1,ACCOMACK CO PBLC SCHS,701,ACCAWMACKE ELEM,PK,5,,,28,,58,62,77,44,66,,,,,,,,,337,,337
1,ACCOMACK CO PBLC SCHS,540,ARCADIA HIGH,9,12,,,,,,,,,,,,,149,121,90,70,,432,,432
1,ACCOMACK CO PBLC SCHS,704,ARCADIA MIDDLE,6,8,,,,,,,,,,124,138,123,,,,,,385,,385
1,ACCOMACK CO PBLC SCHS,80,CHINCOTEAGUE ELEM,PK,5,,,,,14,20,15,18,25,,,,,,,,,104,,104
1,ACCOMACK CO PBLC SCHS,580,CHINCOTEAGUE HIGH,6,12,,,,,,,,,,19,14,15,18,16,10,15,,107,,107
1,ACCOMACK CO PBLC SCHS,600,KEGOTANK ELEM,PK,5,,,36,,51,63,77,69,70,,,,,,,,,368,,368
1,ACCOMACK CO PBLC SCHS,702,METOMPKIN ELEM,PK,5,,,10,,16,19,48,84,78,,,,,,,,,259,,259
1,ACCOMACK CO PBLC SCHS,70,NANDUA HIGH,9,12,,,,,,,,,,,,,131,133,97,91,,453,,453
1,ACCOMACK CO PBLC SCHS,703,NANDUA MIDDLE,6,8,,,,,,,,,,141,123,121,,,,,,385,,385
1,ACCOMACK CO PBLC SCHS,590,PUNGOTEAGUE ELEM,PK,5,,,11,,10,30,46,59,59,,,,,,,,,219,,219
1,ACCOMACK CO PBLC SCHS,530,TANGIER COMBINED,KG,12,,,,,,,,,,,,,,,,,,17,,17
2,ALBEMARLE CO PBLC SCHS,160,AGNOR-HURT ELEM,PK,5,25,,41,,43,39,48,49,38,,,,,,,,,283,,283
2,ALBEMARLE CO PBLC SCHS,1060,ALBEMARLE COUNTY COMMUNITY PUBLIC CHARTER,6,8,,,,,,,,,,,,,,,,,,17,,17
2,ALBEMARLE CO PBLC SCHS,880,ALBEMARLE HIGH,9,12,,,,,,,,,,,,,166,135,118,107,,526,,526
